Year,Playlist,Song,Artist,Popularity,Explicit,Duration (ms),Album,Release Date,Artist Popularity,Artist Followers,Genres
2020,2020,my ex's best friend (with blackbear),mgk,1,True,138970,my ex's best friend (with blackbear),2020-08-07,79,5521973,unknown
2020,2020,Midnight Sky,Miley Cyrus,5,False,223279,Midnight Sky,2020-08-14,85,25922019,unknown
2020,2020,My Head & My Heart,Ava Max,75,False,174760,Heaven & Hell,2020-09-18,80,7491272,unknown
2020,2020,RITMO (Bad Boys For Life),Black Eyed Peas,53,True,214934,Translation,2020-06-18,83,8950869,unknown
2020,2020,POPSTAR (feat. Drake),DJ Khaled,69,True,200221,POPSTAR (feat. Drake),2020-07-17,76,12025622,unknown
2020,2020,THE SCOTTS,THE SCOTTS,74,True,165977,THE SCOTTS,2020-04-24,56,288188,unknown
2020,2020,High Fashion (feat. Mustard),Roddy Ricch,73,True,220486,Please Excuse Me for Being Antisocial,2019-12-06,78,11428352,melodic rap
2020,2020,Safaera,Bad Bunny,78,True,295176,YHLQMDLG,2020-02-29,100,95183342,"reggaeton, trap latino, urbano latino, latin"
2020,2020,Boss Bitch,Doja Cat,78,False,134239,Boss Bitch,2020-01-23,87,33220529,unknown
2020,2020,Physical,Dua Lipa,76,False,193829,Future Nostalgia,2020-03-27,89,45999715,pop
2020,2020,Head & Heart (feat. MNEK),Joel Corry,79,False,166028,Head & Heart (feat. MNEK),2020-07-03,71,456385,dance pop
2020,2020,You should be sad,Halsey,72,True,205473,Manic,2020-01-17,84,22115568,unknown
2020,2020,No Time To Die,Billie Eilish,79,False,242265,No Time To Die,2020-02-13,95,111496286,unknown
2020,2020,Lonely (with benny blanco),Justin Bieber,70,True,149297,Lonely (with benny blanco),2020-10-16,91,82266205,unknown
2020,2020,my future,Billie Eilish,71,False,208155,my future,2020-07-30,95,111496286,unknown
2020,2020,Moral of the Story,Ashe,74,True,201083,Moral of the Story,2019-02-14,69,2157389,unknown
2020,2020,BELIEVE IT,PARTYNEXTDOOR,1,True,183219,PARTYMOBILE,2020-03-27,87,8995652,r&b
2020,2020,Level of Concern,Twenty One Pilots,66,False,220051,Level of Concern,2020-04-09,85,25359680,unknown
2020,2020,ON (Feat. Sia),BTS,0,False,246816,MAP OF THE SOUL : 7,2020-02-21,88,78902741,k-pop
2020,2020,TKN (feat. Travis Scott),ROSALÍA,70,False,129370,TKN (feat. Travis Scott),2020-05-28,78,8480270,latin
2020,2020,Go Crazy,Chris Brown,76,True,176960,Slime & B,2020-05-08,90,26359652,r&b
2020,2020,Wishing Well,Juice WRLD,1,True,194621,Legends Never Die,2020-07-10,89,40156905,"melodic rap, emo rap"
2020,2020,What A Man Gotta Do,Jonas Brothers,74,False,180644,What A Man Gotta Do,2020-01-17,77,7717620,unknown
2020,2020,Play Date,Melanie Martinez,76,True,179867,Cry Baby (Deluxe Edition),2015-08-14,78,22059297,unknown
2020,2020,Take You Dancing,Jason Derulo,73,False,190306,Take You Dancing,2020-07-22,80,12484847,unknown
2020,2020,MAMACITA,Black Eyed Peas,65,True,249142,MAMACITA,2020-04-10,83,8950869,unknown
2020,2020,Runnin,21 Savage,81,True,195906,SAVAGE MODE II,2020-10-02,88,22537274,unknown
