Year,Playlist,Song,Artist,Popularity,Explicit,Duration (ms),Album,Release Date,Artist Popularity,Artist Followers,Genres
2024,2024,BIRDS OF A FEATHER,Billie Eilish,100,False,210373,HIT ME HARD AND SOFT,2024-05-17,95,111496286,unknown
2024,2024,Die With A Smile,Lady Gaga,99,False,251667,Die With A Smile,2024-08-16,95,37700452,"art pop, pop"
2024,2024,Espresso,Sabrina Carpenter,90,True,175459,Espresso,2024-04-12,92,22222141,unknown
2024,2024,Not Like Us,Kendrick Lamar,95,True,274192,Not Like Us,2024-05-04,96,41034241,"hip hop, west coast hip hop"
2024,2024,Beautiful Things,Benson Boone,89,False,180304,Beautiful Things,2024-01-18,88,5604168,unknown
2024,2024,we can't be friends (wait for your love),Ariana Grande,82,False,228639,eternal sunshine,2024-03-08,94,105205627,pop
2024,2024,"Good Luck, Babe!",Chappell Roan,95,False,218423,"Good Luck, Babe!",2024-04-05,87,6129268,unknown
2024,2024,Please Please Please,Sabrina Carpenter,86,True,186365,Please Please Please,2024-06-06,92,22222141,unknown
2024,2024,APT.,ROSÉ,95,False,169917,APT.,2024-10-18,85,11317393,k-pop
2024,2024,End of Beginning,Djo,91,False,159245,DECIDE,2022-09-16,78,1998924,psychedelic pop
2024,2024,"yes, and?",Ariana Grande,76,True,214994,"yes, and?",2024-01-12,94,105205627,pop
2024,2024,i like the way you kiss me,Artemas,85,False,142514,i like the way you kiss me,2024-03-19,78,1235089,unknown
2024,2024,Taste,Sabrina Carpenter,81,False,157279,Short n' Sweet,2024-08-23,92,22222141,unknown
2024,2024,Fortnight (feat. Post Malone),Taylor Swift,85,False,228965,THE TORTURED POETS DEPARTMENT,2024-04-18,98,137087401,unknown
2024,2024,FE!N (feat. Playboi Carti),Travis Scott,88,True,191700,UTOPIA,2023-07-28,94,38553514,rap
2024,2024,Lose Control,Teddy Swims,92,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,88,4690581,unknown
2024,2024,Stick Season,Noah Kahan,88,False,182346,Stick Season,2022-10-14,85,4079351,unknown
2024,2024,TEXAS HOLD 'EM,Beyoncé,64,True,233456,TEXAS HOLD 'EM,2024-02-10,88,40272703,unknown
2024,2024,I Had Some Help (Feat. Morgan Wallen),Post Malone,85,True,178205,I Had Some Help,2024-05-10,90,46958436,unknown
