Year,Playlist,Song,Artist,Popularity,Explicit,Duration (ms),Album,Release Date,Artist Popularity,Artist Followers,Genres
2023,2023,Kill Bill,SZA,85,False,153946,SOS,2022-12-08,93.0,29649902.0,r&b
2023,2023,Cruel Summer,Taylor Swift,91,False,178426,Lover,2019-08-23,98.0,137087401.0,unknown
2023,2023,Die For You - Remix,The Weeknd,76,False,232857,Die For You (Remix),2023-02-24,97.0,104637000.0,unknown
2023,2023,Flowers,Miley Cyrus,22,False,200454,Flowers,2023-01-13,85.0,25922019.0,unknown
2023,2023,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,84,True,221520,HEROES & VILLAINS,2022-12-02,88.0,10941344.0,unknown
2023,2023,Here With Me,d4vd,13,False,242484,Here With Me,2022-09-22,84.0,3926070.0,unknown
2023,2023,vampire,Olivia Rodrigo,12,True,219724,vampire,2023-06-30,88.0,45636386.0,unknown
2023,2023,Daylight,David Kushner,67,False,212953,Daylight,2023-04-14,74.0,2639842.0,unknown
2023,2023,My Love Mine All Mine,Mitski,89,False,137773,The Land Is Inhospitable and So Are We,2023-09-15,83.0,10356163.0,unknown
2023,2023,greedy,Tate McRae,90,True,131872,greedy,2023-09-15,90.0,7658309.0,unknown
2023,2023,Seven (feat. Latto),Jung Kook,81,True,184400,Seven (feat. Latto),2023-07-14,83.0,17567458.0,k-pop
2023,2023,Water,Tyla,87,False,200255,Water,2023-07-28,80.0,2926225.0,afrobeats
2023,2023,Nonsense,Sabrina Carpenter,88,False,163648,emails i can't send,2022-07-15,92.0,22222141.0,unknown
2023,2023,Paint The Town Red,Doja Cat,81,True,231750,Paint The Town Red,2023-08-04,87.0,33220529.0,unknown
2023,2023,Karma,Taylor Swift,78,True,204852,Midnights,2022-10-21,98.0,137087401.0,unknown
2023,2023,Lovin On Me,Jack Harlow,83,True,138411,Lovin On Me,2023-11-10,81.0,4191926.0,unknown
2023,2023,I KNOW ?,Travis Scott,83,True,211582,UTOPIA,2023-07-28,94.0,38553514.0,rap
2023,2023,Snooze,SZA,90,True,201800,SOS,2022-12-09,93.0,29649902.0,r&b
